progress,invariant1,invariant2,invariant3
7.501614612891682743e-01,1.311075761515010374e+00,-3.828281475035377746e+00,-1.848292429585994512e+01
7.595086853786556791e-01,1.306984729705990000e+00,-2.597319789630897269e+00,-1.949799203670606218e+01
7.681679958858963486e-01,1.308560058445884300e+00,-1.027446184164839904e+00,-1.999678125022791875e+01
7.761928247216317578e-01,1.309911805199542867e+00,7.547308636118424952e-01,-1.993702136850001949e+01
7.830823933176348506e-01,1.312198338591738622e+00,2.569853310669168778e+00,-1.931562648236767643e+01
7.893623529823695639e-01,1.315089767450787539e+00,4.213050542732397652e+00,-1.817526902778208608e+01
7.952591972930128650e-01,1.317144890672505619e+00,5.486087193610146073e+00,-1.660287741166885311e+01
8.011274448859697639e-01,1.314756740877817798e+00,6.228255050536605886e+00,-1.471929825721636043e+01
8.070729589118574854e-01,1.313047231326020414e+00,6.348842044380413441e+00,-1.266216795302938714e+01
8.135178764328834244e-01,1.312230204929189181e+00,5.862758281422565609e+00,-1.056605480318890145e+01
8.202917538081981874e-01,1.317718195978281104e+00,4.918227938298798563e+00,-8.545075301739135654e+00
8.273967288242342066e-01,1.321091953915182415e+00,3.789785595937452456e+00,-6.682702207083262458e+00
8.346924326622666701e-01,1.319920331877437736e+00,2.827794096067127949e+00,-5.031013130791267329e+00
8.417513261676197178e-01,1.325395138368225423e+00,2.384841795236267714e+00,-3.617295400490058377e+00
8.481607896206048158e-01,1.329902187576866623e+00,2.732151513576754454e+00,-2.453081126037032877e+00
8.546333870763186402e-01,1.341705948763647571e+00,3.979526129704187731e+00,-1.540041378511075809e+00
8.608158673699314312e-01,1.346388560922613609e+00,6.041485428427056270e+00,-8.690596434474373577e-01
8.667807782570393638e-01,1.314861721018808716e+00,8.656076934900527320e+00,-4.133864703881357516e-01
8.725625628677504686e-01,1.271663061676442608e+00,1.143635915410677129e+01,-1.216217577549796314e-01
8.790083745265002690e-01,1.237846599077286669e+00,1.396521044609287365e+01,8.195819880657820300e-02
8.853249262226653427e-01,1.212921946337471191e+00,1.590456854069867809e+01,2.860101074624779027e-01
8.919038256980661439e-01,1.222726302918208052e+00,1.706574249340134486e+01,5.723309846248670896e-01
8.989272154828045203e-01,1.268469920548890961e+00,1.741497006388428304e+01,9.957665276245711850e-01
9.065028250345137373e-01,1.306044988882459457e+00,1.703504456135178202e+01,1.571929469382594258e+00
9.147863852877912150e-01,1.323641222518084470e+00,1.607676870314058348e+01,2.277106377981236829e+00
